Even,Ten,Odd,Negative,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,thisRow.t,notes,starttrain.started,key_resp.started,text.started,starttrain.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Even_Train.started,text_2.started,Even_Train.stopped,text_2.stopped,starttest.started,text_4.started,key_resp_2.started,starttest.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Even_Test.started,text_5.started,key_resp_3.started,Even_Test.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Ten_Train.started,text_7.started,Ten_Train.stopped,text_7.stopped,Ten_Test.started,text_8.started,key_resp_4.started,Ten_Test.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Odd_Train.started,text_3.started,text_3.stopped,Odd_Train.stopped,Odd_Test.started,text_9.started,key_resp_6.started,Odd_Test.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Negative_Train.started,text_10.started,text_10.stopped,Negative_Train.stopped,Negative_Test.started,text_11.started,key_resp_7.started,Negative_Test.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,Even2.started,text_12.started,text_12.stopped,Even2.stopped,even2test.started,text_13.started,key_resp_8.started,even2test.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,ten2.started,text_14.started,ten2.stopped,text_14.stopped,ten2test.started,text_15.started,key_resp_9.started,ten2test.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,odd2.started,text_16.started,odd2.stopped,text_16.stopped,odd2test.started,text_17.started,key_resp_10.started,odd2test.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,neg2.started,text_18.started,neg2.stopped,text_18.stopped,neg2test.started,text_19.started,key_resp_11.started,neg2test.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
2,40,95,-39,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.26174683403224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.24928937503137,108.26174683403224,110.25223879213445,110.24526616698131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
32,20,7,-44,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.25223879213445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.24560508411378,110.25223879213445,112.26190454210155,112.24685950018466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
12,60,39,-845,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.26190454210155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.24728366709314,112.26190454210155,114.26163141708821,114.24775491701439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.24782625003718,114.26163141708821,114.26163141708821,117.53391550015658,space,3.261898084077984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"313, 9, 33","21, 204, 155","2, 142, 48","264, 198, 211",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.54904650012031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.53952841716819,117.54904650012031,117.54904650012031,119.48149083415046,left,1.9212419169489294,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"91, 299, 31","282, 401, 66","134, 72, 188","136, 169, 0",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.49497483414598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.48205141699873,119.49497483414598,119.49497483414598,120.39858945901506,left,0.8964182918425649,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"41, 187, 53","272,295,67","6, 168, 34","64, 21, 165",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.41103937500156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.39983279211447,120.41103937500156,120.41103937500156,121.37857408402488,left,0.9572251669596881,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"10, 70, 56","20, 200, 160","97, 93, 3","-174, -9, -92",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.38962591718882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.3793084169738,121.38962591718882,121.38962591718882,122.36456383415498,right,0.9745912090875208,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"122, 40, 18","270, 290, 60","465, 323, 97","-84, -100, -244",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.3783412501216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.36497079208493,122.3783412501216,122.3783412501216,122.94752550008707,right,0.5606612509582192,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"112, 216, 128","800, 900, 550","253, 173, 257","-65, -51, -27",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.96093975007534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.94828379200771,122.96093975007534,122.96093975007534,123.61278775008395,right,0.6402240840252489,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.61379400012083,123.62188429199159,123.62188429199159,125.7812184591312,space,2.1449289589654654,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
4,80,33,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.79818679206073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.78708475013264,125.79818679206073,127.79511170904152,127.781097084051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
8,640,3,-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.79511170904152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.78182970918715,127.79511170904152,129.79504720913246,129.7804247920867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
6,20,21,-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.79504720913246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.78083266713656,129.79504720913246,,131.7814567501191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
12,260,51,-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.7951552500017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.78232770902105,131.7951552500017,133.79503979207948,133.78108900017105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
98,170,77,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.79503979207948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.78179829218425,133.79503979207948,135.79501383402385,135.78053250000812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
40,30,91,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.79501383402385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.78094466705807,135.79501383402385,137.79719037516043,137.78034504200332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.78051499999128,137.79719037516043,137.79719037516043,140.1156103340909,space,2.3100566258654,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"287,53,49","71, 24, 603","86, 150, 140","248, 9, 139",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,140.1320583340712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.12119541713037,140.1320583340712,140.1320583340712,140.9648961671628,left,0.8189567090012133,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"222, 50, 90","280, 20, 170","583, 261, 513","-160, -50, -266",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,140.97822050005198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.96629137499258,140.97822050005198,140.97822050005198,142.02872983412817,right,1.0380245419219136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"400, 76, 14","120, 270, 20","25, 87, 119","-16, -40, -27",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,142.04015866713598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.02945654210635,142.04015866713598,142.04015866713598,143.178592834156,right,1.1354278759099543,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"221,63,111","22, 44, 509","162, 70, 118","219, 288, 39",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,143.18885412509553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.17931920918636,143.18885412509553,143.18885412509553,143.89866370917298,left,0.7063021259382367,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"189, 77, 95","66, 138, 284","154, 166, 92","261, 67, 45",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,143.91096041700803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.89929608418606,143.91096041700803,143.91096041700803,144.6620019590482,left,0.7485190420411527,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"42, 88, 20","180, 60, 50","463, 515, 119","-30, -61, -122",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,144.67469995911233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.6627173339948,144.67469995911233,144.67469995911233,145.31192645896226,right,0.6244049170054495,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.31242049997672,145.31887041707523,145.31887041707523,146.4636047091335,space,1.1379372919909656,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
8,640,3,-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,146.483614084078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.4732748749666,146.483614084078,148.4642287499737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
40,30,91,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,148.4782905841712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.46451858407818,148.4782905841712,150.4617565420922,150.467913917033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
4,80,33,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,150.467913917033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.4620344999712,150.467913917033,152.46183158410713,152.46983516705222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
12,260,51,-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,152.46983516705222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.46226850012317,152.46983516705222,154.4656151670497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
6,20,21,-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,154.4782889999915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.46649516699836,154.4782889999915,156.46405391697772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
98,170,77,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,156.47825024998747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.46488908398896,156.47825024998747,158.46407654206268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.46425845916383,158.4783016250003,158.4783016250003,159.71180145908147,space,1.231934417039156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"221,63,111","22, 44, 509","162, 70, 118","219, 288, 39",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,159.7300820001401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.7189216669649,159.7300820001401,159.7300820001401,161.01637012511492,left,1.2793324168305844,None,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"222, 50, 90","280, 20, 170","583, 261, 513","-160, -50, -266",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,161.02741300011985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.01719900011085,161.02741300011985,161.02741300011985,162.33163270913064,right,1.298315874999389,None,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"400, 76, 14","120, 270, 20","25, 87, 119","-16, -40, -27",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,162.3441233751364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.3322585420683,162.3441233751364,162.3441233751364,162.96418795897625,right,0.6044439170509577,None,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"287,53,49","71, 24, 603","86, 150, 140","248, 9, 139",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,162.97792491712607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.96490716701373,162.97792491712607,162.97792491712607,163.54799729213119,left,0.5599514169152826,None,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"189, 77, 95","66, 138, 284","154, 166, 92","261, 67, 45",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,163.63120762514882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.54846741701476,163.63120762514882,163.63120762514882,164.34792933403514,left,0.7080088758375496,None,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"42, 88, 20","180, 60, 50","463, 515, 119","-30, -61, -122",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,164.36096270917915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.34852404217236,164.36096270917915,164.36096270917915,165.0969328340143,right,0.7257364590186626,None,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.09734412515536,165.11377175012603,165.11377175012603,166.49519991711713,space,1.3677288750186563,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
8,640,3,-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,166.5133285841439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.5020452500321,166.5133285841439,168.4979702499695,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
4,80,33,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,5,,,,,,,,,,,,,168.51154341711663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.49838837515563,168.51154341711663,170.49765254207887,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
6,20,21,-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,170.51153979217634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.49827650003135,170.51153979217634,172.49751150002703,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
12,260,51,-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,172.51153670903295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.49780012504198,172.51153670903295,174.49496620916761,174.5030602919869,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
40,30,91,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,174.5030602919869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.49538562516682,174.5030602919869,176.4954472091049,176.5011499170214,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
